"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"BGA70-linear_standard";1;"LTM8050";;;
2;"J2";"RJ45_8N";1;"RJHSE-5080";;;
3;"J1";"RJ45_GIGABIT-MAGJACK";1;"0826-1X1T-M1-F";;;
4;"D3,D2";"SDIP04";2;"DF01S";;;
5;"C1";"C_2220";1;"4.7u";;;
6;"C2";"C_1210";1;"100u";;;
7;"C3";"C_0805";1;"1000p";;;
8;"D1";"Diode-SMC_Standard";1;"S5BC-13-F";;;
9;"D4";"Diode-SMA_Standard";1;"SMAJ58CA";;;
10;"JP1";"Pin_Header_Straight_1x03";1;"JUMPER3";;;
11;"P1,P2,P3";"Pin_Header_Straight_1x02";3;"CONN_01X02";;;
12;"R1";"R_0805";1;"93.1k";;;
13;"R2";"R_0805";1;"90.9k";;;
14;"R3";"R_0805";1;"24.9k";;;
15;"R4";"R_0805";1;"4.42k";;;
16;"R5";"R_0805";1;"178k";;;
17;"R6";"R_0805";1;"150k";;;
18;"R7";"R_0805";1;"100k";;;
19;"R8,R9,R10,R11";"R_0805";4;"75R";;;
20;"U1";"SOIC-8-N";1;"NCP1092";;;
